tenant,application,list_count,sql_count,difference,status
alsumri,observations,34,35,-1,FAIL
alsumri,actionmanagements,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,auditsmanagements,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,communications,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,customercomplaints,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hsemonthlystatistics,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hseplandetails,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,incidentmanagement,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,inspectionmanagements,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,meetingmanagements,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,nonconformances,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,permittoworks,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,riskmanagements,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,observations,99,99,0,PASS
barik,actionmanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
barik,auditsmanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,communications,-1,-1,0,SQL_NOT_CONFIGURED
barik,customercomplaints,-1,-1,0,SQL_NOT_CONFIGURED
barik,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
barik,hsemonthlystatistics,-1,-1,0,SQL_NOT_CONFIGURED
barik,hseplandetails,-1,-1,0,SQL_NOT_CONFIGURED
barik,incidentmanagement,-1,-1,0,SQL_NOT_CONFIGURED
barik,inspectionmanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
barik,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
barik,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
barik,meetingmanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,nonconformances,-1,-1,0,SQL_NOT_CONFIGURED
barik,permittoworks,-1,-1,0,SQL_NOT_CONFIGURED
barik,riskmanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
oneic,observations,9,9,0,PASS
oneic,actionmanagements,-1,-1,0,SQL_NOT_CONFIGURED
oneic,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
oneic,auditsmanagements,-1,-1,0,SQL_NOT_CONFIGURED
oneic,communications,-1,-1,0,SQL_NOT_CONFIGURED
oneic,customercomplaints,-1,-1,0,SQL_NOT_CONFIGURED
oneic,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
oneic,hsemonthlystatistics,-1,-1,0,SQL_NOT_CONFIGURED
