tenant,application,list_count,sql_count,difference,status
alsumri,observations,34,35,-1,FAIL
alsumri,action_tracker,15,15,0,PASS
alsumri,8d_reports,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,audits_management,3,3,0,PASS
alsumri,communications,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hse_plan_details,4,4,0,PASS
alsumri,incident_management,2,2,0,PASS
alsumri,inspection_management,7,7,0,PASS
alsumri,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,moc,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,meetings,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hse_monthly_statistics_oneic,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,hse_monthly_statistics_opal,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,moc_non_conformance,-1,-1,0,SQL_NOT_CONFIGURED
barik,observations,99,99,0,PASS
barik,action_tracker,283,287,-4,FAIL
barik,8d_reports,-1,-1,0,SQL_NOT_CONFIGURED
barik,audits_management,101,5,96,FAIL
barik,communications,-1,-1,0,SQL_NOT_CONFIGURED
barik,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
barik,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
barik,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
barik,hse_plan_details,-1,-1,0,ERROR
barik,incident_management,64,65,-1,FAIL
barik,inspection_management,109,109,0,PASS
barik,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
barik,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
barik,moc,-1,-1,0,SQL_NOT_CONFIGURED
barik,meetings,-1,-1,0,SQL_NOT_CONFIGURED
barik,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
barik,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
barik,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
barik,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
barik,hse_monthly_statistics_oneic,-1,-1,0,SQL_NOT_CONFIGURED
barik,hse_monthly_statistics_opal,-1,-1,0,SQL_NOT_CONFIGURED
barik,moc_non_conformance,-1,-1,0,SQL_NOT_CONFIGURED
oneic,observations,9,9,0,PASS
oneic,action_tracker,19,19,0,PASS
oneic,8d_reports,-1,-1,0,SQL_NOT_CONFIGURED
oneic,audits_management,16,16,0,PASS
oneic,communications,-1,-1,0,SQL_NOT_CONFIGURED
oneic,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
oneic,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
oneic,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
oneic,hse_plan_details,-1,-1,0,ERROR
oneic,incident_management,3,3,0,PASS
oneic,inspection_management,9,9,0,PASS
oneic,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
oneic,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
oneic,moc,-1,-1,0,SQL_NOT_CONFIGURED
oneic,meetings,-1,-1,0,SQL_NOT_CONFIGURED
oneic,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
oneic,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
oneic,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
oneic,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
oneic,hse_monthly_statistics_oneic,-1,-1,0,SQL_NOT_CONFIGURED
oneic,hse_monthly_statistics_opal,-1,-1,0,SQL_NOT_CONFIGURED
oneic,moc_non_conformance,-1,-1,0,SQL_NOT_CONFIGURED
oapil,observations,-1,-1,0,ERROR
oapil,action_tracker,33,33,0,PASS
oapil,8d_reports,-1,-1,0,SQL_NOT_CONFIGURED
oapil,audits_management,15,15,0,PASS
oapil,communications,-1,-1,0,SQL_NOT_CONFIGURED
oapil,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
oapil,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
oapil,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
oapil,hse_plan_details,-1,-1,0,ERROR
oapil,incident_management,9,9,0,PASS
oapil,inspection_management,-1,-1,0,ERROR
oapil,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
oapil,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
oapil,moc,-1,-1,0,SQL_NOT_CONFIGURED
oapil,meetings,-1,-1,0,SQL_NOT_CONFIGURED
oapil,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
oapil,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
oapil,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
oapil,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
oapil,hse_monthly_statistics_oneic,-1,-1,0,SQL_NOT_CONFIGURED
oapil,hse_monthly_statistics_opal,-1,-1,0,SQL_NOT_CONFIGURED
oapil,moc_non_conformance,-1,-1,0,SQL_NOT_CONFIGURED
sos,observations,960,1026,-66,FAIL
sos,action_tracker,998,1063,-65,FAIL
sos,8d_reports,-1,-1,0,SQL_NOT_CONFIGURED
sos,audits_management,446,483,-37,FAIL
sos,communications,-1,-1,0,SQL_NOT_CONFIGURED
sos,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
sos,emergency_response_drills,-1,-1,0,SQL_NOT_CONFIGURED
sos,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
sos,hse_plan_details,-1,-1,0,ERROR
sos,incident_management,583,606,-23,FAIL
sos,inspection_management,388,388,0,PASS
sos,vehicle_inspections,-1,-1,0,SQL_NOT_CONFIGURED
sos,legal_register,-1,-1,0,SQL_NOT_CONFIGURED
sos,moc,-1,-1,0,SQL_NOT_CONFIGURED
sos,meetings,-1,-1,0,SQL_NOT_CONFIGURED
sos,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
sos,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
sos,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
sos,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
sos,hse_monthly_statistics_oneic,-1,-1,0,SQL_NOT_CONFIGURED
sos,hse_monthly_statistics_opal,-1,-1,0,SQL_NOT_CONFIGURED
